X,Y,OBJECTID_1,OBJECTID,BLDG_ID,BLDG_NAME,ADDRESS,CITY,ZIPCODE,CSP_SCH_ID,SCH_ID,SCH_NAME,SCH_LABEL,SCH_TYPE,SHARED,COMPLEX,Label,TLT,PL,POINT_X,POINT_Y
-71.00412058,42.38879868,1,1,1,Guild Bldg,195 Leyden Street,East Boston,02128,4061,4061,Guild Elementary,Guild,ES, , ,52,3,Grace,790128.1527,2967094.378
-71.03048029,42.3785453,2,2,3,"Kennedy, P Bldg",343 Saratoga Street,East Boston,02128,4541,4541,Kennedy Patrick Elem,PJ Kennedy,ES, , ,72,3,Grace,783027.7458,2963317.534
-71.03389058,42.37527868,3,3,4,Otis Bldg,218 Marion Street,East Boston,02128,4322,4322,Otis Elementary,Otis,ES, , ,106,3,Grace,782112.8239,2962122.057
-71.03801072,42.37808862,4,4,6,Odonnell Bldg,33 Trenton Street,East Boston,02128,4543,4543,O'Donnell Elementary,O'Donnell,ES, , ,103,3,Grace,780994,2963140
-71.03492143,42.38095746,5,5,7,East Boston High Bldg,86 White Street,East Boston,02128,1070,1070,East Boston High,East Boston HS,HS, , ,36,2,Joel,781823,2964190
-71.04032982,42.37828999,6,6,8,Umana / Barnes Bldg,312 Border Street,East Boston,02128,4323,4323,Umana Academy,Umana Academy,K-8, , ,124,3,Grace,780367,2963210
-71.03411995,42.36967602,7,7,10,East Boston Eec Bldg,135 Gove Street,East Boston,02128,4450,4450,East Boston EEC,East Boston EEC,ELC, , ,35,1,Marice,782062,2960080
-71.03430758,42.36927368,8,8,11,Mckay Bldg,122 Cottage Street,East Boston,02128,4360,4360,McKay K-8,McKay K-8,K-8, , ,89,3,Grace,782012.0967,2959933.1
-71.03489031,42.36556301,9,9,12,Adams Bldg,165 Webster Street,East Boston,02128,4361,4361,Adams Elementary,Adams,ES, , ,1,3,Grace,781862,2958580
-71.05749225,42.37662852,10,10,13,Harvard-Kent,50 Bunker Hill Street,Charlestown,02129,4280,4280,Harvard/Kent Elem,Harvard/Kent,ES, , ,55,3,Grace,775733,2962580
-71.06107059,42.38011868,11,11,14,Charlestown High Bldg #1 -  Main,240 Medford Street,Charlestown,02129,1050,1050,Charlestown High,Charlestown HS,HS, , ,21,4,Jonathan,774759.5895,2963846.892
-71.06723124,42.37908036,12,12,15,Edwards Bldg,28 Walker Street,Charlestown,02129,2010,2010,Edwards Middle,Edwards MS,MS, , ,38,3,Grace,773097,2963460
-71.06443059,42.37799868,13,13,16,Warren-Prescott Bldg,50 School Street,Charlestown,02129,4283,4283,Warren/Prescott K-8,Warren/Prescott K-8,K-8, , ,128,3,Grace,773855.7165,2963069.665
-71.05336967,42.36610274,14,14,17,Eliot Bldg,16 Charter Street,Boston,02113,4381,4381,Eliot K-8,Eliot K-8,K-8, , ,39,1,Marice,776867,2958750
-71.06905025,42.34840829,15,15,21,Abraham Lincoln Building,152 Arlington Street,Boston,02116,1450,1450,Quincy Upper School,Quincy Upper (6-12),K-12, , ,112,4,Jonathan,772662,2952280
-71.06492059,42.34797867,16,16,22,Boston HS Bldg,885 Washington Street,Boston,02111,4650,4650,Quincy Lower (K-5),Quincy Lower (K-5),K-12, , ,111,3,Grace,773779.1248,2952129.105
-71.0779706,42.35057867,17,17,24,Snowden Hs Bldg,150 Newbury Street,Boston,02116,1200,1200,Snowden International,Snowden HS,HS, , ,116,4,Anthony,770246.741,2953058.87
-71.07352059,42.34436867,18,18,26,Mckinley Mackey Bldg,90 Warren Avenue,Boston,02116,1291,1291,McKinley Elementary,McKinley Elem,Special,Shared, ,90,3,Grace,771460.9379,2950801.812
-71.07352059,42.34436867,19,19,26,Mckinley Mackey Bldg,90 Warren Avenue,Boston,02116,1294,1294,McKinley So. End Acad,McKinley S. End Acad,Special,Shared, ,93,3,Grace,771460.9379,2950801.812
-71.0777406,42.33875867,20,20,27,Hurley Bldg,70 Worcester Street,Boston,02118,4260,4260,Hurley K-8,Hurley K-8,K-8, , ,66,1,Marice,770330.2366,2948751.749
-71.07246107,42.34073755,21,21,28,Blackstone Bldg,380 Shawmut Avenue,Boston,02118,4640,4640,Blackstone Elementary,Blackstone,ES, , ,7,3,Grace,771754,2949480
-71.07133141,42.32621703,22,22,31,Mason Bldg,150 Norfolk Avenue,Roxbury,02119,4121,4121,Mason Elementary,Mason,ES, , ,85,1,Marice,772086,2944190
-71.05819134,42.32317619,23,23,33,Clap Bldg,35 Harvest Street,Dorchester,02125,4531,4531,Clap Elementary,Clap,ES, , ,23,1,Christine,775645,2943100
-71.05054059,42.33131867,24,24,35,Perkins Bldg,50 Burke Street,South Boston,02127,4022,4022,Perkins Elementary,Perkins,ES, , ,108,1,Christine,777698.3368,2946078.062
-71.04489058,42.33286867,25,25,36,South Boston Ed. Bldg,95 G Street,South Boston,02127,1162,1162,Excel High,Excel HS,HS, ,S. Boston EC,45,1,Christine,779223.0394,2946651.009
-71.03841128,42.33487071,26,27,37,Tynan Bldg,650 E. Fourth Street,South Boston,02127,4590,4590,Tynan Elementary,Tynan,ES, , ,123,1,Christine,780971,2947390
-71.03019874,42.33212077,27,28,38,Perry Bldg,745 E. Seventh Street,South Boston,02127,4592,4592,Perry K-8,Perry K-8,K-8, , ,109,1,Christine,783197,2946400
-71.05954941,42.32038241,28,29,39,Russell Bldg,750 Columbia Road,Dorchester,02125,4530,4530,Russell Elementary,Russell,ES, , ,115,1,Christine,775283,2942080
-71.07790902,42.33027521,29,30,42,Orchard Gardens K-8,906 Albany Street,Roxbury,02119,4680,4680,Orchard Gardens K-8,Orchard Gardens K-8,K-8, , ,105,1,Marice,770300,2945660
-71.17434062,42.28226865,30,32,131,West Roxbury Ed. Bldg,1205 V.F.W. Parkway,West Roxbury,02132,1256,1256,West Roxbury Academy,W. Roxbury Acad,HS,Shared, ,129,2,Joel,744291.8935,2928051.281
-71.05042966,42.33357372,31,34,34,Gavin Bldg,215 Dorchester Street,South Boston,02127,2450,2450,UP Academy Boston,UP Academy Boston,MS, , ,125,1,Christine,777724,2946900
-71.0817106,42.32702867,32,35,44,Wheatley Bldg,20 Kearsage Avenue,Roxbury,02119,1410,1410,Boston Day and Evening Academy,BDEA,Special, , ,10,4,Freddie,769277.866,2944471.839
-71.08383998,42.34055977,33,36,45,Carter Center Bldg,396 Northampton Street,Roxbury,02118,4261,4261,Carter Center,Carter Center,Special, , ,19,1,Marice,768678,2949400
-71.0902906,42.33175867,34,37,47,Madison Park Bldg #1,75 Malcolm X Blvd,Roxbury,02120,1210,1210,Madison Park High,Madison Park HS,HS, , ,82,4,Ligia,766949.4579,2946184.274
-71.0887926,42.33203867,35,38,48,Madison Park Bldg #3 - O'Bryant,55 Malcolm X Blvd,Roxbury,02120,1030,1030,O'Bryant Math & Sci.,O'Bryant School,6/7/2012, , ,102,4,Anthony,767354.0118,2946288.26
-71.0909706,42.33039867,36,39,49,Timilty Bldg,205 Roxbury Street,Roxbury,02119,2040,2040,Timilty Middle,Timilty MS,MS, , ,120,2,Kelly,766767.9686,2945687.783
-71.0910406,42.32554867,37,40,50,Hale Bldg,51 Cedar Street,Roxbury,02119,4113,4113,Hale Elementary,Hale,ES, , ,53,1,Marice,766757.5151,2943920.267
-71.08630957,42.32094834,38,41,51,Lewis Bldg,131 Walnut Avenue,Roxbury,02119,4242,4242,Higginson/Lewis (3-8),Higginson/Lewis (3-8),K-8, , ,62,1,Marice,768045,2942250
-71.07893913,42.31496685,39,42,53,Blue Hill Ave Eec Bldg,263 Blue Hill Ave,Roxbury,02119,4460,4460,Haynes EEC,Haynes EEC,ELC, , ,56,1,Marice,770049,2940080
-71.08784105,42.31574003,40,43,54,Trotter Bldg,135 Humboldt Avenue,Dorchester,02121,4580,4580,Trotter K-8,Trotter K-8,K-8, , ,122,2,Kelly,767640,2940350
-71.0845006,42.31615866,41,44,55,Boston Latin Academy Bldg,205 Townsend Street,Boston,02121,1020,1020,Boston Latin Academy,Boston Latin Acad,6/7/2012, , ,13,4,Jonathan,768542.715,2940506.939
-71.0928916,42.3163343,42,45,56,Ellis Bldg,302 Walnut Avenue,Roxbury,02119,4240,4240,Ellis Elementary,Ellis,ES, , ,41,1,Marice,766273,2940560
-71.0756266,42.31820265,43,46,57,Winthrop Bldg,35 Brookford Street,Dorchester,02125,4052,4052,Winthrop Elementary,Winthrop,ES, , ,132,2,Joel,770939.048,2941263.617
-71.07619659,42.31129966,44,47,58,King Bldg,77 Lawrence Avenue,Dorchester,02121,4055,4055,King K-8,King K-8,K-8, , ,76,1,Marice,770797.3931,2938747.29
-71.07541082,42.30905402,45,48,59,Frederick Middle,270 Columbia Road,Dorchester,02121,2360,2360,Frederick Pilot Middle,Frederick MS,MS, , ,47,1,Christine,771014,2937930
-71.07385902,42.30561813,46,49,62,Holland Bldg,85 Olney Street,Dorchester,02121,4250,4250,UP Academy Holland,UP Holland,ES, , ,63,1,Christine,771440,2936680
-71.06101177,42.30839621,47,50,63,Mather Bldg,1 Parish Street,Dorchester,02122,4350,4350,Mather Elementary,Mather,ES, , ,86,2,Kelly,774910,2937710
-71.07072943,42.29992615,48,52,67,Marshall Bldg,35 Westville Street,Dorchester,02124,4345,4345,UP Academy Charter School of Dorchester,UP Academy of Dorchester,K-8, , ,126,1,Christine,772297,2934610
-71.06222064,42.29396673,49,53,69,Ohearn Bldg,1669 Dorchester Avenue,Dorchester,02122,4391,4391,Henderson Lower (K0-1),Henderson Lower (K0-1),K-12, , ,57,2,Kelly,774610,2932450
-71.04919406,42.29420618,50,54,70,Murphy Bldg,1 Worrell Street,Dorchester,02122,4400,4400,Murphy K-8,Murphy K-8,K-8, , ,99,2,Kelly,778133.9064,2932555.617
-71.05319154,42.28655025,51,55,71,Kenny Bldg,19 Oakton Avenue,Dorchester,02122,4390,4390,Kenny Elementary,Kenny,ES, , ,73,2,Kelly,777067,2929760
-71.06956993,42.28126173,52,56,72,Wilson Bldg,18 Croftland Avenue,Dorchester,02124,1140,1140,Henderson Upper (2-12),Henderson Upper (2-12),K-12, , ,58,2,Kelly,772645,2927810
-71.07743057,42.27786075,53,57,73,Taylor Bldg,1060 Morton Street,Mattapan,02126,4151,4151,Taylor Elementary,Taylor,ES, , ,118,2,Kelly,770524,2926560
-71.08091059,42.28141866,54,58,74,Thompson Bldg,100 Maxwell Street,Dorchester,02124,1990,1990,Boston International HS,Boston Intl HS,Special,Shared, ,12,4,Anthony,769575.8605,2927851.905
-71.08091059,42.28141866,55,59,74,Thompson Bldg,100 Maxwell Street,Dorchester,02124,1991,1991,Newcomers Academy,Newcomers Acad,Special,Shared, ,101,4,Anthony,769575.8605,2927851.905
-71.0904296,42.27676066,56,60,77,Mildred Avenue Bldg,5 Mildred Avenue,Mattapan,02126,4671,4671,Mildred Avenue K-8,Mildred Ave K-8,K-8, , ,96,2,Kelly,767008.1118,2926141.952
-71.07679145,42.28779215,57,61,78,Dorchester Ed. Bldg #1 - Main,9 Peacevale Road,Dorchester,02124,1460,1460,TechBoston Academy,TechBoston,6/7/2012, , ,119,4,Anthony,770679,2930180
-71.08037542,42.2924381,58,62,80,Lee Bldg,155 Talbot Avenue,Dorchester,02124,4290,4290,Lee K-8,Lee K-8,K-8, , ,78,2,Kelly,769700.9263,2931868.261
-71.07300863,42.28660893,59,63,79,Fifield Bldg,25 Dunbar Ave.,Dorchester,02124,4291,4291,Lee Academy (K1-3),Lee Academy (K1-3),ES, , ,77,2,Kelly,771704.7107,2929753.916
-71.07560026,42.2967885,60,64,82,Holmes Bldg,40 School Street,Dorchester,02124,4084,4084,Holmes Elementary,Holmes,ES, , ,64,2,Joel,770985,2933460
-71.09500233,42.28231466,61,65,85,Lewenberg Bldg,20 Outlook Road,Mattapan,02126,4600,4600,Young Achievers K-8,Young Achievers K-8,K-8, , ,133,2,Kelly,765761,2928160
-71.10408944,42.27581531,62,66,86,Mattahunt Bldg,100 Hebron Street,Mattapan,02126,4691,4691,Mattahunt Elementary,Mattahunt (K1-2),ES, , ,87,2,Mary,763313,2925780
-71.1047806,42.26725865,63,67,87,Chittick Bldg,154 Ruskindale Road,Mattapan,02126,4070,4070,Chittick Elementary,Chittick,ES, , ,22,2,Joel,763140.3999,2922660.971
-71.06172942,42.30112879,64,69,65,Cleveland Bldg,11 Charles Street,Dorchester,02122,1103,1103,Comm Acad Sci Health,CASH,HS,Shared, ,24,4,Anthony,774729.4907,2935060.643
-71.11774061,42.28540866,65,70,91,Philbrick Bldg,40 Philbrick Street,Roslindale,02131,4561,4561,Philbrick Elementary,Philbrick,ES, , ,110,2,Mary,759602.9139,2929259.103
-71.1077206,42.28675866,66,71,92,Haley Bldg,570 American Legion Highway,Roslindale,02131,4210,4210,Haley K-8,Haley K-8,K-8, , ,54,2,Joel,762311.9578,2929763.373
-71.11594061,42.29463866,67,72,93,Parkman Bldg,25 Walk Hill Street,Jamaica Plain,02130,4661,4661,BTU K-8 Pilot,BTU Pilot School K-8,K-8, , ,17,2,Kelly,760074.83,2932624.843
-71.12345117,42.24295076,68,74,96,Roosevelt Bldg,95 Needham Road,Hyde Park,02136,4192,4192,Roosevelt Upper (2-8),Roosevelt Upper (2-8),K-8, , ,114,2,Joel,758126,2913780
-71.13332061,42.25162865,69,75,98,Channing Bldg,35 Sunnyside Street,Hyde Park,02136,4201,4201,Channing Elementary,Channing,ES, , ,20,2,Mary,755440.0469,2916930.689
-71.12732061,42.25676865,70,76,99,Grew Bldg,40 Gordon Avenue,Hyde Park,02136,4200,4200,Grew Elementary,Grew,ES, , ,51,2,Mary,757056.2669,2918810.811
-71.12705061,42.27479866,71,77,100,Conley Bldg,450 Poplar Street,Roslindale,02131,4080,4080,Conley Elementary,Conley,ES, , ,28,2,Joel,757100.6305,2925381.51
-71.12493061,42.28363866,72,78,101,Irving Bldg,105 Cummins Highway,Roslindale,02131,2140,2140,Irving Middle,Irving MS,MS, , ,67,2,Mary,757660.2112,2928605.451
-71.12684061,42.28645866,73,79,102,Sumner Bldg,15 Basile Street,Roslindale,02131,4560,4560,Sumner Elementary,Sumner,ES, , ,117,2,Joel,757138.8747,2929630.835
-71.1034906,42.30892866,74,80,105,Fuller Bldg,25 Glen Road,Jamaica Plain,02130,1340,1340,Community Academy,Community Acad,Special, , ,25,4,Freddie,763418.9694,2937847.759
-71.09812021,42.31393788,75,81,107,Hernandez Bldg,61 School Street,Roxbury,02119,4053,4053,Hernandez K-8,Hernandez K-8,K-8, , ,60,3,Alex,764863,2939680
-71.1096006,42.30600866,76,82,108,English Hs Bldg,144 Mcbride Street,Jamaica Plain,02130,1080,1080,English High,English HS,HS, , ,43,4,Jonathan,761771.1526,2936776.039
-71.1016106,42.31655866,77,83,109,Mendell Bldg,164 School Street,Roxbury,02119,4370,4370,Mendell Elementary,Mendell,ES, , ,94,3,Alex,763914.5013,2940630.628
-71.10583938,42.32178533,78,84,110,"Kennedy, J  Bldg",7 Bolster Street,Jamaica Plain,02130,4270,4270,Kennedy John F Elemen,JF Kennedy,ES, , ,71,3,Alex,762762,2942530
-71.10693577,42.32629276,79,85,111,Hennigan Bldg,200 Heath Street,Jamaica Plain,02130,4231,4231,West Zone ELC,West Zone ELC,ELC,Shared, ,130,3,Alex,762457.9299,2944171.219
-71.0982906,42.33301867,80,86,113,Tobin Bldg,40 Smith Street,Roxbury,02120,4570,4570,Tobin K-8,Tobin K-8,K-8, , ,121,3,Alex,764784.166,2946633.152
-71.1016906,42.33789867,81,87,115,Boston Latin School Bldg,78 Avenue Louis Pasteur,Boston,02115,1010,1010,Boston Latin School,Boston Latin Sch,6/7/2012, , ,14,3,Alex,763856.5495,2948407.202
-71.0915306,42.34145867,82,88,116,Health Careers Academy,110 The Fenway,Boston,02115,1440,1440,Kennedy Health Careers Academy (11-12),Kennedy HCA (11-12),HS, , ,69,4,Jonathan,766597.245,2949717.523
-71.09917802,42.33058828,83,89,118,Mission Hill Bldg,67 Alleghany Street,Roxbury,02120,1265,1265,Fenway High,Fenway HS,HS, , ,46,4,Jonathan,764548.3827,2945746.345
-71.06215256,42.30069833,84,90,118,Cleveland Bldg,11 Charles Street,Dorchester,02122,1420,1420,Boston Arts Academy,BAA,HS,Shared, ,9,4,Jonathan,774619.898,2934906.539
-71.0992606,42.34343867,85,91,119,Mckinley Peterborough Bldg,97 Peterborough Street,Boston,02215,1293,1293,McKinley Prep High Sch,McKinley Prep HS,Special, , ,92,3,Grace,764504.0514,2950429.16
-71.10676061,42.34794867,86,92,120,Mckinley St Mary'S St Bldg,50 St. Mary Street,Boston,02215,1292,1292,McKinley Middle,McKinley MS,Special, , ,91,3,Grace,762468.9136,2952063.254
-71.11421891,42.31868548,87,93,121,"Curley, J.  Bldg",40 Pershing Road,Jamaica Plain,02130,4272,4272,Curley K-8 (Lower),Curley K-8 (Lower),K-8, , ,29,3,Alex,760501,2941390
-71.11295061,42.31850866,88,94,122,"Curley, Mary  Bldg",493 Centre Street,Jamaica Plain,02130,4272,4272,Curley K-8 (Upper),Curley K-8 (Upper),K-8, , ,30,3,Alex,760844.3025,2941327.12
-71.13149061,42.30558866,89,95,124,Manning Bldg,130 Louders Lane,Jamaica Plain,02130,4311,4311,Manning Elementary,Manning,ES, , ,83,2,Joel,755850.5347,2936596.642
-71.13533061,42.27776866,90,96,126,Bates Bldg,426 Beech Street,Roslindale,02131,4081,4081,Bates Elementary,Bates,ES, , ,5,2,Mary,754855.1451,2926454.132
-71.14105061,42.28122866,91,97,127,Mozart Bldg,236 Beech Street,Roslindale,02131,4082,4082,Mozart Elementary,Mozart,ES, , ,98,2,Mary,753301.8784,2927708.442
-71.15236762,42.29266066,92,98,128,Russett Road Bldg,140 Russett Road,West Roxbury,02132,4033,4033,Kilmer Upper (4-8),Kilmer Upper (4-8),K-8, , ,75,2,Mary,750222.431,2931861.757
-71.15613062,42.26343865,93,99,129,Beethoven Bldg,5125 Washington Street,West Roxbury,02132,4030,4030,Beethoven Elementary,Beethoven (K1-2),ES, , ,6,2,Mary,749247.2487,2921208.692
-71.16257013,42.27188582,94,100,130,Kilmer Bldg,35 Baker Street,West Roxbury,02132,4031,4031,Kilmer Lower (K1-3),Kilmer Lower (K1-3),K-8, , ,74,2,Mary,747492,2924280
-71.17434062,42.28226865,95,101,131,West Roxbury Ed. Bldg,1205 V.F.W. Parkway,West Roxbury,02132,1253,1253,Urban Science Academy,Urban Science Academy,HS,Shared,West Roxbury EC,127,2,Joel,744291.8935,2928051.281
-71.15837062,42.28299866,96,102,132,"Shaw, R.G.  Bldg",20 Mt. Vernon Street,West Roxbury,02132,4331,4331,Lyndon K-8,Lyndon K-8,K-8, , ,79,2,Joel,748612.3675,2928334.209
-71.16019062,42.34558867,97,103,133,Edison Bldg,60 Glenmont Road,Brighton,02135,4178,4178,Edison K-8,Edison K-8,K-8, , ,37,3,Alex,748029.006,2951141.157
-71.16150062,42.35107867,98,104,135,"Lyon, Mary  Bldg",50 Beechcroft Street,Brighton,02135,4171,4171,Lyon K-8,Lyon K-8,K-12, , ,80,4,Jonathan,747666.93,2953140.418
-71.16076062,42.35212867,99,105,136,Garfield Bldg,95 Beechcroft Street,Brighton,02135,1171,1171,"Lyon, Mary 9-12",Lyon 9-12,K-12, , ,81,4,Jonathan,747865.4372,2953523.854
-71.1553486,42.3476017,100,106,137,Winship Bldg,54 Dighton Street,Brighton,02135,4173,4173,Winship Elementary,Winship,ES, , ,131,3,Alex,749335,2951880
-71.11792785,42.26526119,101,107,139,E. Greenwood Bldg,612 Metropolitan Avenue,Hyde Park,02136,1230,1230,Another Course to College,ACC,HS, , ,3,4,Anthony,759585.471,2921916.774
-71.14549062,42.34908867,102,108,140,Brighton High School Bldg,25 Warren Street,Brighton,02135,1040,1040,Brighton High,Brighton HS,HS, , ,16,4,Jonathan,751997.5985,2952432.802
-71.14051062,42.34203867,103,109,141,Baldwin Bldg,121 Corey Road,Brighton,02135,4621,4621,Baldwin ELPA,Baldwin ELPA,ELC, , ,4,3,Alex,753354.6092,2949869.276
-71.13770062,42.35205867,104,110,142,Jackson Mann Bldg,40 Armington Street,Allston,02134,4610,4610,Horace Mann,Horace Mann K-12,Special,Shared, ,65,3,Alex,754098.7767,2953523.978
-71.13770062,42.35205867,105,111,142,Jackson Mann Bldg,40 Armington Street,Allston,02134,4620,4620,Jackson/Mann K-8,Jackson/Mann K-8,K-8,Shared, ,68,3,Alex,754098.7767,2953523.978
-71.11791035,42.2624191,106,112,89,Hyde Park EC,655 Metropolitan Ave,Hyde Park,02136,1285,1285,New Mission High,New Mission HS,6/7/2012,Shared, ,100,4,Anthony,759643.6967,2921172.194
-71.13411062,42.36076867,107,113,144,Gardner Bldg,30 Athol Street,Allston,02134,4160,4160,Gardner K-8,Gardner K-8,K-8, , ,48,3,Alex,755055.5559,2956702.225
-71.14961061,42.26075865,108,114,145,Ohrenberger Bldg,175 West Boundary Road,West Roxbury,02132,4410,4410,Ohrenberger 3-8,Ohrenberger 3-8,K-8, , ,104,2,Mary,751016.1196,2920239.245
-71.05976976,42.31368761,109,115,146,Everett Bldg,71 Pleasant Street,Dorchester,02125,4140,4140,Everett Elementary,Everett,ES, , ,44,1,Christine,775236,2939640
-71.08684032,42.28212094,110,116,148,"Shaw, P.A. Bldg",429 Norfolk Street,Dorchester,02124,4670,4670,P.A. Shaw (K1-3),P.A. Shaw (K1-3),ES, , ,107,2,Kelly,767970,2928100
-71.08066202,42.29656011,111,117,149,"Greenwood, S Bldg",189 Glenway Street,Dorchester,02121,4130,4130,Greenwood Sarah K-8,S. Greenwood K-8,K-8, , ,50,2,Joel,769616,2933370
-71.08162524,42.30681876,112,118,150,Burke High School Bldg,60 Washington Street,Dorchester,02121,1120,1120,Burke High,Burke HS,HS, , ,18,4,Anthony,769337.0727,2937107.129
-71.04274058,42.31762867,113,119,152,Dever Bldg,325 Mt. Vernon Street,Dorchester,02125,4100,4100,Dever Elementary,Dever,ES, , ,32,1,Christine,779834.1415,2941100.413
-71.04350058,42.31802867,114,120,153,Mccormack Bldg,315 Mt. Vernon Street,Dorchester,02125,2190,2190,McCormack Middle,McCormack MS,MS, , ,88,1,Christine,779627.8188,2941245.078
-71.05215122,42.33802589,115,121,156,Condon Bldg,200 D Street,South Boston,02127,4630,4630,Condon K-8,Condon K-8,K-8, , ,27,1,Christine,777250,2948520
-71.13288061,42.23389865,116,122,998,New Roosevelt Bldg,30 Millstone Road,Hyde Park,02136,4193,4193,Roosevelt K-8 (K1-1),Roosevelt Lower (K1-1),K-8, , ,113,2,Joel,755586.9786,2910470.173
-71.00504508,42.39161618,117,123,2,"Bradley Bldg
",110 Beachview Road,East Boston,02128,4062,4062,Bradley Elementary,Bradley,ES, , ,15,3,Grace,789872.4446,2968119.682
-71.10691069,42.32562212,118,124,111,Hennigan Bldg,200 Heath Street,Jamaica Plain,02130,4230,4230,Hennigan K-8,Hennigan K-8,K-8,Shared, ,59,3,Alex,762465.8386,2943926.859
-71.0918906,42.27178865,119,125,76,Mattapan Eec Bldg,108 Babson Street,Mattapan,02126,4440,4440,Ellison/ Parks ELC,Ellison/ Parks ELC,ELC, , ,42,2,Kelly,766621.3962,2924328.192
-71.0992906,42.31412866,120,126,106,Greater Egleston High,80 School Street,Roxbury,02119,1430,1430,Greater Egleston High,Greater Egleston HS,HS, , ,49,4,Freddie,764546.1198,2939748.034
-71.11386744,42.30703515,121,128,123,Agassiz Building,20 Child St,Jamaica Plain,02130,4285,4285,Mission Hill K-8,Mission Hill K-8,K-8,Shared, ,97,2,Mary,760615.2741,2937144.856
-71.11448219,42.30720829,122,129,123,Agassiz Building,20 Child St,Jamaica Plain,02130,1053,1053,Margarita Muniz Academy,Muniz Academy,HS,Shared, ,84,4,Jonathan,760448.7026,2937207.199
-71.07337366,42.32192747,123,130,30,Emerson Building,6 Shirley St,Roxbury,02119,4123,4123,Dudley Street Neighborhood Charter School,Dudley St NCS,ES, , ,34,1,Marice,771541.563,2942624.044
-71.10656366,42.33393143,124,131,114,Farragut Building,10 Fenwood Road,Jamaica Plain,02115,1441,1441,Kennedy Health Careers Academy (9-10),Kennedy HCA (9-10),HS, , ,70,4,Jonathan,762545.713,2946955.351
-71.11788607,42.2632279,125,132,89,Hyde Park EC,655 Metropolitan Ave,Hyde Park,02136,1195,1195,Community Leadership Academy,BCLA,HS,Shared, ,26,4,Anthony,759599.7646,2921175.945
-71.05487079,42.36591096,126,1335,1000,Eliot Bldg,173 Salem Street,Boston,02113,4381,4381,Eliot K-8,Eliot K-8,K-8, , ,40,1,Marice,776462.973,2958675.531
-71.09202957,42.31766019,127,1736,52,Higginson Bldg,160 Harrishof Street,Roxbury,02119,4241,4241,Higginson Elementary (K1-2),Higginson (K1-2),ES, , ,61,1,Marice,766503.8294,2941044.29
-71.03794008,42.37156844,128,2136,0,Alighieri Bldg,37 Gove St.,East Boston,02128,4321,4321,Alighieri Montessori,Alighieri,ES, , ,2,1,Marice,781025.9568,2960764.018
-71.06814954,42.34876971,129,2938,0,Church Street Bldg,20 Church Street,Boston,02116,1215,1215,Boston Adult Tech Acad,BATA,Special, , ,8,4,Freddie,772904.8128,2952412.938
-71.14596106,42.35044072,130,2946,139,Taft Bldg,20 Warren Street,Brighton,02135,1470,1470,Boston Green Academy,Boston Green Academy,6/7/2012, , ,11,4,Jonathan,751868.3851,2952924.991
-71.08050441,42.32615285,131,3346,150,Dearborn Bldg,35 Greenville Street,Roxbury,02119,1260,1260,Dearborn Academy,Dearborn Academy,6/7/2012, , ,31,4,Anthony,769605.963,2944154.655
